NumComplaints,Address
108,2845 UNIVERSITY AVENUE
108,283 EAST  234 STREET
108,1105 MORRISON AVENUE
108,2321 SOUTHERN BOULEVARD
108,2082 HUGHES AVENUE
108,1778 SOUTHERN BOULEVARD
108,3521 DEKALB AVENUE
107,361 EAST 163 STREET
107,319 EAST  197 STREET
107,1847 BRONXDALE AVENUE
107,1314 MERRIAM AVENUE
107,2928 JEROME AVENUE
107,1890 ANDREWS AVENUE SOUTH
107,244 EAST  196 STREET
107,1400 CROTONA AVENUE
106,1145 MORRISON AVENUE
106,1134 STRATFORD AVENUE
106,3067 DECATUR AVENUE
106,2010 BRUCKNER BOULEVARD
105,2767 MORRIS AVENUE
105,756 ST ANNS AVENUE
105,986 EAST  180 STREET
105,2922 BARNES AVENUE
105,775 CONCOURSE VILLAGE EAST
105,2895 GRAND CONCOURSE
105,225 WEST  232 STREET
105,1015 BOYNTON AVENUE
105,417 EAST  145 STREET
105,750 PELHAM PARKWAY SOUTH
105,2693 MORRIS AVENUE
105,3950 BLACKSTONE AVENUE
105,2775 MORRIS AVENUE
104,1265 NELSON AVENUE
104,766 EAST  215 STREET
104,2291 DR M L KING JR BOULEVARD
104,2707 BRIGGS AVENUE
104,777 MACE AVENUE
104,1930 GRAND CONCOURSE
104,1149 STRATFORD AVENUE
104,9 EAST  193 STREET
103,2435 CRESTON AVENUE
103,27 WEST 181 STREET
103,2000 ANTHONY AVENUE
103,3018 HEATH AVENUE
103,2552 UNIVERSITY AVENUE
103,3315 CRUGER AVENUE
103,3121 VILLA AVENUE
103,4683 PARK AVENUE
103,3601 KINGSBRIDGE AVENUE
103,3425 KNOX PLACE
103,2079 MOHEGAN AVENUE
103,1329 COLLEGE AVENUE
103,1895 GRAND CONCOURSE
103,128 CLARKE PLACE EAST
103,900 HOE AVENUE
103,2544 VALENTINE AVENUE
102,18 EAST  199 STREET
102,254 EAST  202 STREET
102,737 FOX STREET
102,1231 FULTON AVENUE
102,6211 BROADWAY
102,1340 MORRIS AVENUE
102,4002 CARPENTER AVENUE
102,1995 DAVIDSON AVENUE
102,1202 SPOFFORD AVENUE
101,3950 BRONX BOULEVARD
101,2355 SOUTHERN BOULEVARD
101,785 MACE AVENUE
101,1154 STRATFORD AVENUE
100,6141 BROADWAY
100,2198 CRUGER AVENUE
100,3467 DEKALB AVENUE
100,1026 MORRIS PARK AVENUE
100,2243 RYER AVENUE
100,1226 PROSPECT AVENUE
100,3315 HULL AVENUE
100,936 REV JAMES POLITE AVENUE
100,231 WEST  230 STREET
100,1269 GRAND CONCOURSE
100,3929 CARPENTER AVENUE
99,1786 TOPPING AVENUE
99,2628 3 AVENUE
99,3556 ROCHAMBEAU AVENUE
99,1990 ELLIS AVENUE
99,2265 OLINVILLE AVENUE
99,1210 NELSON AVENUE
99,1153 GRAND CONCOURSE
99,2816 ROEBLING AVENUE
99,1304 COLLEGE AVENUE
99,1121 MORRISON AVENUE
